"id4","sex","AGECAT"
2400,"Boy",11
5086,"Boy",15
4536,"Girl",13
4918,"Girl",13
2548,"Girl",11
7506,"Boy",15
6492,"Girl",15
7218,"Boy",15
2762,"Boy",13
7842,"Girl",15
3906,"Girl",13
4598,"Boy",13
3573,"Girl",13
3480,"Boy",13
7782,"Boy",15
2190,"Girl",11
4214,"Boy",13
846,"Boy",11
192,"Boy",11
6816,"Girl",15
4433,"Boy",13
38,"Girl",11
4063,"Girl",13
3886,"Girl",13
4091,"Boy",13
589,"Girl",11
1883,"Boy",11
1472,"Girl",11
6032,"Boy",15
1227,"Girl",11
3935,"Girl",13
4199,"Girl",13
6450,"Boy",15
5003,"Girl",13
699,"Boy",11
5705,"Girl",15
575,"Boy",11
1820,"Girl",11
3197,"Boy",13
4077,"Girl",13
4401,"Girl",13
6458,"Boy",15
6677,"Boy",15
4753,"Girl",13
2578,"Girl",11
6766,"Boy",15
4335,"Girl",13
7860,"Boy",15
1100,"Girl",11
3899,"Boy",13
3329,"Boy",13
3040,"Girl",13
6105,"Girl",15
7779,"Girl",15
4472,"Girl",13
2237,"Boy",11
202,"Girl",11
6804,"Girl",15
358,"Boy",11
5076,"Girl",15
2601,"Girl",11
6709,"Boy",15
6294,"Girl",15
5371,"Boy",15
3844,"Girl",13
6262,"Girl",15
1550,"Girl",11
6173,"Boy",15
7236,"Girl",15
7705,"Girl",15
3669,"Girl",13
3680,"Boy",13
2679,"Girl",11
1310,"Boy",11
4876,"Boy",13
5953,"Boy",15
3254,"Girl",13
4072,"Boy",13
5917,"Boy",15
107,"Boy",11
774,"Boy",11
7340,"Girl",15
990,"Boy",11
3554,"Boy",13
6672,"Girl",15
7059,"Boy",15
5864,"Girl",15
482,"Girl",11
7678,"Girl",15
3603,"Boy",13
7081,"Girl",15
6624,"Girl",15
7672,"Girl",15
6997,"Boy",15
6524,"Boy",15
3786,"Boy",13
4618,"Boy",13
5716,"Boy",15
159,"Girl",11
1723,"Girl",11
3205,"Boy",13
7404,"Girl",15
6590,"Girl",15
7609,"Boy",15
706,"Girl",11
1781,"Boy",11
4603,"Boy",13
2167,"Girl",11
1074,"Girl",11
5318,"Girl",15
548,"Boy",11
233,"Boy",11
6126,"Boy",15
4372,"Boy",13
5890,"Girl",15
1849,"Girl",11
174,"Girl",11
90,"Girl",11
1549,"Boy",11
4489,"Boy",13
3738,"Girl",13
7387,"Boy",15
24,"Girl",11
7442,"Boy",15
4518,"Boy",13
5457,"Girl",15
883,"Girl",11
1663,"Boy",11
5258,"Boy",15
6583,"Girl",15
4673,"Girl",13
1646,"Girl",11
4611,"Girl",13
3929,"Girl",13
7492,"Girl",15
3003,"Girl",13
2851,"Girl",13
5410,"Girl",15
4100,"Girl",13
3352,"Boy",13
4028,"Boy",13
742,"Boy",11
6342,"Girl",15
6893,"Boy",15
4542,"Boy",13
63,"Girl",11
4718,"Girl",13
978,"Boy",11
2799,"Boy",13
507,"Boy",11
1108,"Boy",11
1745,"Boy",11
421,"Girl",11
5070,"Boy",15
5976,"Boy",15
1570,"Boy",11
4507,"Boy",13
5060,"Boy",15
3660,"Boy",13
6439,"Girl",15
527,"Girl",11
5409,"Girl",15
7777,"Boy",15
6521,"Boy",15
3039,"Boy",13
959,"Girl",11
7624,"Boy",15
5829,"Girl",15
2744,"Girl",13
7644,"Boy",15
4566,"Girl",13
6392,"Boy",15
3916,"Girl",13
675,"Boy",11
1589,"Boy",11
4090,"Girl",13
2421,"Girl",11
5792,"Girl",15
5375,"Girl",15
2534,"Boy",11
88,"Girl",11
4857,"Girl",13
5462,"Girl",15
6689,"Boy",15
1289,"Girl",11
1555,"Boy",11
7846,"Boy",15
6843,"Boy",15
6947,"Girl",15
189,"Girl",11
6905,"Boy",15
1896,"Boy",11
4059,"Boy",13
6959,"Girl",15
3114,"Boy",13
6487,"Boy",15
4560,"Girl",13
3286,"Boy",13
6378,"Boy",15
1772,"Girl",11
1780,"Girl",11
745,"Boy",11
504,"Boy",11
3582,"Girl",13
819,"Girl",11
3832,"Girl",13
1653,"Boy",11
3769,"Girl",13
7834,"Girl",15
4645,"Boy",13
4981,"Girl",13
2460,"Girl",13
6374,"Boy",15
3619,"Boy",13
3220,"Girl",13
6036,"Boy",15
3625,"Boy",13
1331,"Girl",11
1981,"Boy",11
3209,"Boy",13
133,"Girl",11
7016,"Girl",15
5332,"Girl",15
564,"Girl",11
2681,"Boy",11
3556,"Boy",13
1245,"Girl",11
389,"Boy",11
7515,"Girl",15
6428,"Boy",15
60,"Boy",11
427,"Boy",11
263,"Boy",11
4321,"Girl",13
1385,"Girl",11
7511,"Boy",15
2260,"Girl",11
7729,"Boy",15
3959,"Girl",13
7608,"Boy",15
1848,"Girl",11
3139,"Girl",13
7710,"Girl",15
3956,"Boy",13
7011,"Girl",15
73,"Boy",11
6960,"Girl",15
6910,"Boy",15
1927,"Girl",11
3267,"Boy",13
4283,"Girl",13
5633,"Boy",15
7390,"Girl",15
610,"Girl",11
3730,"Boy",15
1389,"Girl",11
5064,"Girl",15
4935,"Girl",13
7243,"Boy",15
5983,"Boy",15
